Energy,est. mean,est. std,est var,est median,cred mu min,cred mu max,cred std min,cred std max,cred var min,cred var max,cred median min,cred median max,HPD min,HPD max
7409.638554216868,16.46358260077881,16.26530355575137,264.5600997607382,11.626302134426847,16.301831007340645,16.625334194216975,16.150927907163513,16.379679204339226,260.83939047340334,268.280809048073,10.66252387167803,12.740213215918828,0.009659735278873172,18.6371453650238
7439.759036144579,16.282093538016188,16.369288900653054,267.95361911304326,11.363355027220525,16.119307854118265,16.44487922191411,16.254182039688743,16.484395761617364,264.185184189899,271.7220540361875,10.625695311467474,12.705528592527816,0.0015952641950354894,18.506758138391053
7469.879518072289,15.989599637839628,16.041137260922348,257.31808462375136,10.893679975007181,15.830077283791889,16.149121991887366,15.92833792262435,16.153936599220344,253.69922528659256,260.9369439609102,10.185522251541148,12.269454053538905,0.02339816964200254,18.106886485942713
7500.0,16.195981770046533,16.4881148586057,271.85793159057414,11.294372684252235,16.03201441204245,16.359949128050616,16.37217242786777,16.604057289343633,268.0345873605883,275.68127582055996,10.509024722552782,12.589437690884575,0.0036272055213681285,18.422610304031373
7530.120481927711,16.366454284706656,16.334557488243664,266.8177683367372,11.223143726605368,16.20401399007739,16.528894579335923,16.21969485437337,16.44942012211396,263.0653077443263,270.5702289291481,10.552178689464055,12.633198025604667,0.00018028467179473305,18.730101129099932
7560.240963855422,16.203619841423254,16.491969025022133,271.9850423222895,10.971989956781584,16.039614155357413,16.367625527489096,16.37599949225182,16.607938557792444,268.159910437701,275.81017420687795,10.443865521305167,12.527088514856976,0.005712460370961112,18.33433562584
7590.361445783133,15.919511690822102,16.050370897846634,257.6144059584422,10.83511309454812,15.759897512144061,16.079125869500142,15.93750662972987,16.163235165963396,253.99137922966608,261.2374326872183,10.352945923205427,12.437414828998895,0.0006651290477440538,18.051781083616728
7620.481927710844,16.231306862468028,16.516909988155344,272.80831555682573,11.217715168329853,16.06705314902816,16.395560575907897,16.40076507354694,16.63305490276375,268.9716053564877,276.64502575716375,10.781166475459004,12.862232354049302,0.00103255453118651,18.610125560264287
7650.6024096385545,16.54654358878299,16.551563209353144,273.95424467321254,11.49429092363324,16.38194526365313,16.711141913912847,16.435174617481874,16.667951801224415,270.10141840280266,277.8070709436224,10.852906441022757,12.931659358526321,0.0062462722751707635,18.963249449807222
7680.722891566265,16.94679243913347,16.712933953665708,279.322161339592,11.796831728664749,16.7805893499156,17.11299552835134,16.5954106222256,16.830457285105815,275.3938419868455,283.25048069233856,10.820145127399261,12.896497252205261,0.041212056578689864,19.267866542674554
7710.843373493976,16.63989140809729,16.464346197892656,271.0746957240624,11.76384649626717,16.476160419413404,16.80362239678118,16.3485709055039,16.58012149028141,267.26236673396096,274.88702471416383,10.845385166354582,12.921992798042337,0.008676927400781943,18.91059037080208
7740.963855421687,16.660182560435675,16.18022356046734,261.7996344667024,11.854122777378667,16.499277051717645,16.821088069153706,16.06644618412255,16.29400093681213,258.11774769593814,265.48152123746667,10.82431213798981,12.900223998768524,0.00020356661849990377,19.04377430270582
7771.084337349398,16.624850577837556,16.657239441551134,277.46362581316674,11.481487548413597,16.459201347085926,16.790499808589185,16.540107747188323,16.774371135913945,273.56144445477486,281.36580717155863,10.844690875100587,12.923548301489118,0.008531245705247626,18.83588989870127
7801.204819277109,16.437761726483384,16.35098582117526,267.35473732427437,11.507321880988172,16.275158059002198,16.60036539396457,16.23600766525351,16.46596397709701,263.59472492983156,271.1147497187172,10.51873878856857,12.597385588393319,0.0005945892653041531,18.69460971934134
7831.32530120482,15.881133382132713,15.879120938180792,252.14648176937163,10.915833444899736,15.723222212178564,16.039044552086864,15.767460879081112,15.990780997280472,248.60035460455515,255.69260893418812,10.08777593771733,12.171506144257586,0.006494656281224169,18.027737140336363
7861.445783132531,15.640377901669842,15.487694269280178,239.86867377869407,11.001992211704541,15.48635930508156,15.794396498258124,15.378786675203768,15.596601863356588,236.49521873737748,243.24212882001066,10.213722719231525,12.296676944120284,0.0010176109881191544,17.812311006109788
7891.566265060242,16.139634633750603,16.012624953414022,256.40415789869746,11.219666834446283,15.980395822592566,16.29887344490864,15.90002611021609,16.125223796611955,252.7981518060639,260.010163991331,10.446310318531003,12.52735945884867,0.0031442765478373958,18.457769952656335
7921.686746987953,16.373119596314904,16.503828586341676,272.3763580073487,11.26045399164663,16.208995971906603,16.537243220723205,16.387775658569655,16.6198815141137,268.5457227535636,276.2069932611338,10.588809003558973,12.66950972171357,0.0033367373102389207,18.496151263387777
7951.8072289156635,15.975088262341954,15.700469447188622,246.50474086210338,11.181676789973293,15.818953706223448,16.13122281846046,15.590065643779676,15.81087325059757,243.03795777755218,249.97152394665457,10.422382527512202,12.503758581382481,0.0010186978796664678,18.282778373651933
7981.9277108433735,15.800059643333908,15.910236061606236,253.1356115360355,10.824238421710369,15.641839046581984,15.958280240085832,15.798357204719569,16.022114918492903,249.5755734892964,256.6956495827746,9.981777705323655,12.066347008772333,0.002710389943545139,17.7967297301007
8012.048192771084,15.646174951373265,15.625252612821289,244.1485192144785,10.85700778601078,15.490788394993626,15.801561507752904,15.51537772510002,15.735127500542557,240.71487346157812,247.5821649673789,10.22027556248402,12.304542968441222,0.00010644427873491633,18.000791801191003
8042.168674698795,15.541429905519722,15.886410632445674,252.37804278268294,10.605133914827043,15.383446242626293,15.699413568413151,15.774699313097042,15.998121951794307,248.82865899975363,255.92742656561225,10.010465616734539,12.097103619156282,0.0048906238034941265,17.450895723735883
8072.289156626506,15.766825538250446,15.718152773680446,247.0603266167583,10.928146558555778,15.610515128897628,15.923135947603264,15.607624623257024,15.828680924103868,243.58572990846292,250.53492332505365,10.174422006384908,12.258040533283271,0.01919671379484939,18.135517195074282
8102.409638554217,16.053350006875544,15.634723759066867,244.44458702233,11.316439709430897,15.897869263935435,16.208830749815654,15.524782271389993,15.744665246743741,241.00677744335246,247.88239660130756,10.380869332913983,12.461096061120157,0.004668419546284093,18.40899566029432
8132.530120481928,16.024264179348556,15.85608701194039,251.41549533022476,11.21281773817395,15.866582072089717,16.181946286607396,15.74458892462588,15.9675850992549,247.87964858197716,254.95134207847235,10.60486426153092,12.685972169215837,0.0011221825428628367,18.45698579999837
